Title,Genres
Halo Infinite,Adventure| Shooter
Cult of the Lamb,Adventure| Brawler| Indie| RPG| Simulator| Strategy
MultiVersus,Fighting
Sonic Mania,Adventure| Platform
Team Fortress 2,Shooter
Hogwarts Legacy,Adventure| RPG
Doki Doki Literature Club!,Adventure| Indie| Visual Novel
Resident Evil 3,Adventure| Shooter
The Legend of Zelda: A Link to the Past,Adventure| Puzzle
Xenoblade Chronicles 2,Adventure| RPG
Katana Zero,Adventure| Arcade| Indie| Platform| Strategy
Phoenix Wright: Ace Attorney,Adventure| Point-and-Click| Puzzle| Visual Novel
Silent Hill,Adventure| Puzzle
Shadow of the Colossus,Adventure| Platform| Puzzle
Life is Strange,Adventure| Puzzle| RPG
Chrome Dino,Arcade
Fallout 4,RPG| Shooter
Dark Souls II: Scholar of the First Sin,Adventure| RPG
Uncharted 4: A Thiefs End,Adventure| Shooter
Borderlands 2,RPG| Shooter
Dishonored,Adventure| Puzzle| RPG
Ghost of Tsushima,Adventure| Brawler| RPG
Super Smash Bros. Brawl,Fighting| Platform
Metal Gear Solid 3: Snake Eater,Adventure| Shooter| Tactical
Super Mario Bros. 3,Platform
Splatoon 3,Platform| Shooter
Psychonauts,Adventure| Platform| Puzzle
Deathloop,Adventure| Shooter
Batman: Arkham Knight,Adventure| Brawler
Journey,Adventure| Platform
Titanfall 2,Adventure| Shooter
Dead Space,Adventure| RPG| Shooter
No More Heroes,Adventure| Brawler
Kingdom Hearts,Adventure| RPG
Doom,Shooter
Sifu,Brawler| Fighting| Indie
The Last of Us Remastered,Adventure| Shooter
Disco Elysium,Adventure| RPG| Turn Based Strategy
Rocket League,Indie| Racing| Sport
Red Dead Redemption,Adventure| RPG| Shooter
Teenage Mutant Ninja Turtles: Shredders Revenge,Arcade| Brawler| Indie
Sonic the Hedgehog,Platform
The Murder of Sonic the Hedgehog,Indie| Point-and-Click| Simulator| Visual Novel
Mario Kart Wii,Racing
Wii Sports,Simulator| Sport
Tomb Raider,Adventure| Platform| Puzzle| Shooter
Super Mario Galaxy 2,Adventure| Platform
Donkey Kong Country,Adventure| Platform
Live A Live,Adventure| RPG
Guilty Gear: Strive,Fighting
PokÃ©mon Emerald,Adventure| RPG| Turn Based Strategy
What Remains of Edith Finch,Adventure| Indie| Puzzle
Assassins Creed II,Adventure| Platform
Bayonetta 3,Brawler
Detroit: Become Human,Adventure| Puzzle
Resident Evil,Adventure| Shooter
God of War,Adventure| Brawler| Puzzle| Strategy
New Super Mario Bros.,Adventure| Platform
Shadow of the Colossus,Adventure| Platform| Puzzle
Unpacking,Indie| Point-and-Click| Puzzle| Simulator
Grand Theft Auto IV,Adventure| Racing| Shooter
Dead Space,Puzzle| Shooter
Final Fantasy X,Adventure| RPG
Limbo,Adventure| Indie| Platform| Puzzle
Deltarune: Chapter 1,Adventure| Indie| RPG| Turn Based Strategy
Final Fantasy XV,Adventure| RPG
Monster Hunter Rise,Adventure| Brawler| RPG
Killer7,Adventure| Puzzle| Shooter
Tales of Arise,Adventure| RPG
Dead Cells,Adventure| Indie| Platform
Pokémon Scarlet,Adventure| RPG| Turn Based Strategy
Far Cry 3,Adventure| Shooter
Final Fantasy VI,Adventure| RPG
Halo 3,Shooter
Metroid Fusion,Adventure| Platform| Puzzle| Shooter
Ultrakill,Indie| Shooter
Horizon Forbidden West,Adventure| RPG
The Legend of Zelda: The Wind Waker,Adventure| Puzzle| RPG
Pokémon Platinum,Adventure| RPG| Turn Based Strategy
Final Fantasy IX,RPG| Turn Based Strategy
NEO: The World Ends with You,Brawler| RPG
Plants vs. Zombies,Puzzle| Real Time Strategy| Simulator| Strategy| Tactical
Danganronpa 2: Goodbye Despair,Adventure| Point-and-Click| Visual Novel
Prey,Adventure| Puzzle| Shooter
SuperHot,Fighting| Indie| Puzzle| Shooter| Tactical
Inside,Adventure| Indie| Platform| Puzzle
Xenogears,RPG
Papers| Please,Indie| Point-and-Click| Puzzle| Simulator
Little Nightmares,Adventure| Platform| Puzzle
Persona 5 Strikers,Adventure| Brawler| RPG
Metroid: Zero Mission,Adventure| Platform| Shooter
Counter-Strike: Global Offensive,Shooter| Tactical
Atomic Heart,Adventure| RPG| Shooter
Stranger of Paradise: Final Fantasy Origin,Adventure| RPG
VA-11 Hall-A: Cyberpunk Bartender Action,Adventure| Indie| Simulator| Visual Novel
Resident Evil 5,Adventure| Puzzle| Shooter
Like a Dragon: Ishin!,Adventure| Brawler| RPG
The Stanley Parable: Ultra Deluxe,Adventure| Simulator
Mirrors Edge,Adventure| Platform| Shooter
Xenoblade Chronicles 3: Future Redeemed,Adventure| RPG
The Legend of Zelda: Twilight Princess,Adventure| Puzzle| RPG
Halo: Combat Evolved,Shooter
Yakuza Kiwami 2,Adventure| RPG
Danganronpa V3: Killing Harmony,Adventure| Point-and-Click| Visual Novel
Pokémon FireRed,Adventure| RPG| Turn Based Strategy
Assassins Creed IV Black Flag,Adventure| Platform
Star Wars Jedi: Survivor,Adventure
LEGO Star Wars: The Skywalker Saga,Adventure| Puzzle
Minecraft,Adventure| Simulator
Super Smash Bros. Melee,Fighting| Platform
Metal Gear Solid 4: Guns of the Patriots,Adventure| Shooter| Tactical
Super Mario 3D World + Bowsers Fury,Adventure| Platform
Pentiment,Adventure| RPG
Devil May Cry 3: Dantes Awakening - Special Edition,Adventure| Brawler| Shooter
The Great Ace Attorney Chronicles,Adventure| Puzzle| Visual Novel
AI: The Somnium Files,Adventure| Puzzle| Visual Novel
Silent Hill 3,Adventure| Puzzle
Sonic Generations,Adventure| Platform
Bayonetta 2,Brawler
The Legend of Zelda: Ocarina of Time 3D,Adventure| Puzzle| RPG
Ori and the Will of the Wisps,Adventure| Platform
Shin Megami Tensei: Nocturne,RPG
Sonic the Hedgehog 2,Adventure| Platform
Return of the Obra Dinn,Adventure| Indie| Puzzle
Fallout 3,Quiz/Trivia| RPG| Shooter
A Hat in Time,Adventure| Indie| Platform
The Legend of Zelda: The Minish Cap,Adventure| Puzzle| RPG
Metroid Prime,Adventure| Platform| Puzzle| Shooter
Gris,Adventure| Indie| Platform| Puzzle
Mass Effect,RPG| Shooter
Super Mario 3D Land,Platform
High on Life,Shooter
Crisis Core: Final Fantasy VII - Reunion,RPG
Uncharted: Drakes Fortune,Adventure| Platform| Shooter
The World Ends with You,Arcade| RPG
Fire Emblem: Awakening,Adventure| RPG| Strategy
Call of Duty: Modern Warfare 2,Shooter
The Legend of Zelda: A Link Between Worlds,Adventure| Puzzle| RPG
The Walking Dead: Season One,Adventure| Point-and-Click
Mario Kart DS,Racing
Devil May Cry 2,Adventure| Brawler
Deaths Door,Adventure| Brawler| Indie| RPG
Apex Legends,Shooter
Kingdom Hearts III,Adventure| Brawler| RPG
The Legend of Zelda: Links Awakening,Adventure
The Legend of Zelda,Adventure
Zero Escape: Nine Hours| Nine Persons| Nine Doors,Adventure| Point-and-Click| Puzzle| Visual Novel
Persona 3 Portable,Adventure| RPG| Strategy| Visual Novel
Demons Souls,Adventure| RPG
Rayman Legends,Adventure| Platform
Uncharted 2: Among Thieves,Adventure| Platform| Shooter
Lost Judgment,Adventure| Brawler| RPG
Monster Hunter: World,Adventure| RPG
Milk inside a bag of milk inside a bag of milk,Adventure| Indie| Visual Novel
Scorn,Adventure| Indie| Puzzle
Assassins Creed,Adventure| Platform
Ori and the Blind Forest,Adventure| Platform| Puzzle
Night in the Woods,Adventure| Indie| Platform
Grand Theft Auto: Vice City,Adventure| Arcade| Racing| Shooter
Pokémon Go,RPG| Simulator
Cuphead: The Delicious Last Course,Adventure| Indie| Platform
Call of Duty: Black Ops,Shooter
Halo: Reach,Shooter
Demons Souls,Adventure| RPG
Shin Megami Tensei IV,RPG
Ratchet & Clank: Rift Apart,Adventure| Platform| Shooter
Kingdom Hearts II,Adventure| RPG
Castlevania: Aria of Sorrow,Adventure| Platform| RPG
A Short Hike,Adventure| Indie| Platform
The Legend of Zelda: Skyward Sword HD,Adventure| RPG
God of War II,Adventure| Brawler| Platform
Judgment,Adventure| RPG
The Last of Us Part I,Adventure| Shooter
Paper Mario: The Thousand-Year Door,Adventure| Quiz/Trivia| RPG| Turn Based Strategy
Pokémon Black,Adventure| RPG| Turn Based Strategy
Metal Gear Solid V: Ground Zeroes,Adventure| RPG| Shooter| Strategy
Mass Effect 2,Adventure| RPG| Shooter
Call of Duty: Black Ops II,Shooter
Subnautica,Adventure| Indie
Twelve Minutes,Adventure| Indie| Point-and-Click| Puzzle
A Plague Tale: Innocence,Adventure| RPG
Resident Evil 6,Adventure| Shooter
Final Fantasy XIV: Endwalker,Adventure| RPG
Banjo-Kazooie,Adventure| Platform| Quiz/Trivia
The Stanley Parable,Adventure| Indie
Ghost Trick: Phantom Detective,Adventure| Puzzle
Blasphemous,Adventure| Brawler| Indie| Platform| RPG
Wolfenstein: The New Order,Adventure| Puzzle| Shooter
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Adventure| RPG
New Super Mario Bros. Wii,Adventure| Platform
Astros Playroom,Adventure| Platform
Deus Ex,RPG| Shooter
Returnal,Shooter
Resident Evil 4,Adventure| Shooter
Mega Man X,Adventure| Platform| Shooter
BioShock 2,Adventure| Puzzle| RPG| Shooter
Garrys Mod,Indie| Simulator
Yakuza 3 Remastered,Adventure| RPG| Simulator
Honkai: Star Rail,Adventure| RPG| Turn Based Strategy
Forza Horizon 5,Racing
AI: The Somnium Files - Nirvana Initiative,Adventure| Puzzle| Visual Novel
Enter the Gungeon,Adventure| Arcade| Indie| Shooter
Dark Souls II,Adventure| RPG
Firewatch,Adventure| Indie
The House in Fata Morgana,Adventure| Indie| Visual Novel
Citizen Sleeper,Adventure| Indie| RPG
Super Meat Boy,Adventure| Indie| Platform
Devil May Cry 3: Dantes Awakening,Adventure| Brawler| Shooter
Super Mario 3D World,Adventure| Platform
Crash Bandicoot N. Sane Trilogy,Adventure| Platform
Five Nights at Freddys,Adventure| Indie| Point-and-Click| Simulator| Strategy
Mass Effect Legendary Edition,Adventure| RPG| Shooter| Strategy
Shovel Knight,Adventure| Indie| Platform
Valorant,Shooter| Tactical
No More Heroes III,Brawler
Final Fantasy XIV Online,Adventure| RPG| Strategy
Max Payne,Shooter
Soul Hackers 2,RPG
Dying Light,Adventure| RPG| Shooter
Yume Nikki,Adventure| Indie
Tetris,Arcade| Puzzle
Street Fighter 6,Arcade| Fighting
Ghostwire: Tokyo,Adventure
Octopath Traveler II,RPG| Turn Based Strategy
Uncharted 3: Drakes Deception,Adventure| Platform| Shooter
God of War III,Adventure| Brawler
Donkey Kong Country 2: Diddys Kong Quest,Adventure| Platform
Pokémon Sword,Adventure| RPG| Turn Based Strategy
Hellblade: Senuas Sacrifice,Adventure| Brawler| Indie
Helltaker,Adventure| Indie| Puzzle
Wo Long: Fallen Dynasty,Adventure| RPG
Persona 2: Innocent Sin,RPG
South Park: The Stick of Truth,Adventure| RPG| Strategy
Dishonored 2,Adventure| Puzzle| RPG| Shooter
Octopath Traveler,Adventure| RPG
Call of Duty 4: Modern Warfare,Shooter| Simulator
Phoenix Wright: Ace Attorney - Trials and Tribulations,Adventure| Visual Novel
Sonic Adventure,Adventure| Platform
Rise of the Tomb Raider,Adventure| Shooter
Spec Ops: The Line,Adventure| Shooter
The Legend of Heroes: Trails in the Sky,RPG| Strategy
Ratchet & Clank,Adventure| Platform| Shooter
Alien: Isolation,Adventure
Immortality,Indie| Point-and-Click| Simulator
Pokémon X,Adventure| RPG| Turn Based Strategy
Yakuza 6: The Song of Life,Adventure| Brawler| RPG
God Hand,Brawler
Luigis Mansion,Adventure
Hotline Miami 2: Wrong Number,Indie| Shooter
Pokémon SoulSilver,Adventure| RPG| Turn Based Strategy
The Legend of Zelda: Skyward Sword,Adventure| Platform| Puzzle| RPG
LEGO Star Wars: The Complete Saga,Adventure| Platform
Halo 2,Shooter
Sonic Heroes,Adventure| Platform
Risk of Rain 2,Adventure| Indie| Shooter
The Legend of Zelda: Majoras Mask 3D,Adventure| RPG
Ōkami,Adventure| Puzzle| RPG
Paper Mario,Adventure| RPG| Turn Based Strategy
OneShot,Adventure| Indie| Puzzle| RPG
The Legend of Zelda: The Wind Waker HD,Adventure| Puzzle
Slay the Spire,Adventure| Card & Board Game| Indie| RPG| Strategy| Turn Based Strategy
Assassins Creed Brotherhood,Adventure| Puzzle
Heavy Rain,Adventure
Cruelty Squad,Indie| Shooter| Simulator| Tactical
Hitman,Adventure| Shooter| Tactical
The Quarry,Adventure
Watch Dogs,Adventure| Shooter
Metal Gear Solid 3: Subsistence,Adventure| Shooter| Tactical
Assassins Creed III,Adventure| Strategy
Triangle Strategy,Adventure| RPG| Simulator| Strategy| Tactical
Super Mario Bros. 2,Adventure| Platform
Resident Evil 2,Adventure| Shooter
Final Fantasy XIII,Adventure| RPG
A Plague Tale: Requiem,Adventure| RPG
BioShock Remastered,Adventure| RPG| Shooter
Drakengard,RPG
Bastion,Adventure| Indie| RPG
Lisa,Adventure| Indie| RPG
Super Mario World 2: Yoshis Island,Platform
Assassins Creed Origins,Adventure| RPG
Resident Evil,Adventure| Puzzle
The Wolf Among Us,Adventure| Point-and-Click
Rain World,Adventure| Indie| Platform| RPG
Phoenix Wright: Ace Attorney - Justice for All,Adventure| Visual Novel
Dead Space 2,Adventure| Shooter
Marvels Spider-Man Remastered,Adventure| Brawler
Umineko: When They Cry,Adventure| Visual Novel
Castlevania,Adventure| Platform
The Outer Worlds,Adventure| RPG| Shooter
Crash Bandicoot,Platform
Yakuza 5 Remastered,Adventure
Devil May Cry 4,Adventure| Brawler
Bloodstained: Ritual of the Night,Adventure| Platform| RPG
Alan Wake,Adventure| Shooter
Batman: Arkham Origins,Adventure| Brawler
Scarlet Nexus,Adventure| RPG
Milk outside a bag of milk outside a bag of milk,Adventure| Indie| Visual Novel
Until Dawn,Adventure
Dead by Daylight,Indie| Strategy
Borderlands 3,RPG| Shooter
Kena: Bridge of Spirits,Adventure| Indie
Chained Echoes,Adventure| Indie| RPG| Strategy| Turn Based Strategy
Kid Icarus: Uprising,Brawler| Shooter
Grand Theft Auto III,Adventure| Racing| Shooter| Simulator
A Way Out,Adventure
Yakuza 4 Remastered,Adventure| Brawler
Sonic Unleashed,Adventure| Brawler| Platform
The Elder Scrolls IV: Oblivion,Adventure| RPG
The Evil Within,Adventure| Puzzle| Shooter
Final Fantasy VIII,Adventure| RPG
Kirbys Dream Land,Platform
Pokémon HeartGold,Adventure| RPG| Turn Based Strategy
Outlast,Adventure| Indie
Call of Duty: Modern Warfare II,Shooter
Destiny 2,Adventure| RPG| Shooter
Ico,Adventure| Platform| Puzzle
Animal Crossing: New Leaf,Simulator
LEGO Batman: The Video Game,Adventure| Brawler| Platform
Soma,Adventure| Indie| Puzzle| Quiz/Trivia
Assassins Creed Odyssey,Adventure| RPG
Crash Bandicoot 4: Its About Time,Platform
Final Fantasy VII Remake Intergrade,Adventure| RPG
The Binding of Isaac: Rebirth,Adventure| Arcade| Indie| Puzzle| RPG| Shooter
Sonic Adventure 2,Adventure| Platform
Dragon Ball FighterZ,Fighting
Luigis Mansion 3,Adventure
Katamari Damacy Reroll,Adventure| Puzzle
Pokémon Brilliant Diamond,Adventure| RPG| Turn Based Strategy
Mario Kart 7,Racing
Death Stranding: Directors Cut,Adventure
Abzu,Adventure| Indie| Puzzle| Simulator
Splatoon 2,Platform| Shooter
The Witness,Adventure| Indie| Puzzle
Donut County,Adventure| Indie| Puzzle
The Silver Case,Adventure| Puzzle| Visual Novel
Tekken 7,Fighting
The Callisto Protocol,Adventure| Shooter
Bully,Adventure
Mario Kart 64,Racing
Castle Crashers,Adventure| Brawler| Indie| Puzzle| RPG
Sonic the Hedgehog 3 & Knuckles,Platform
Far Cry 4,Adventure| Shooter| Tactical
The Sims 4,RPG| Simulator
Full Metal Daemon Muramasa,Adventure| Visual Novel
Pokémon White,Adventure| RPG| Turn Based Strategy
Middle-earth: Shadow of Mordor,Adventure| Brawler| RPG
Shin Megami Tensei III: Nocturne - HD Remaster,RPG| Turn Based Strategy
Transistor,Adventure| Indie| RPG| Strategy| Turn Based Strategy
Superliminal,Adventure| Indie| Puzzle| Shooter
Star Wars: Knights of the Old Republic,Adventure| RPG
Kirbys Adventure,Platform
Super Smash Bros. for Wii U,Fighting| Platform
The Legend of Zelda: Twilight Princess,Adventure| RPG
The Legend of Heroes: Trails to Azure,Adventure| RPG| Strategy| Turn Based Strategy
Super Smash Bros.,Fighting| Platform
Umineko: When They Cry Chiru,Adventure| Visual Novel
To the Moon,Adventure| Indie| Point-and-Click| Puzzle| RPG
Persona 4,Quiz/Trivia| RPG| Simulator| Visual Novel
Hitman 3,Adventure| Shooter| Tactical
Baba is You,Indie| Puzzle| Strategy
Super Mario 64 DS,Adventure| Platform
The Witcher 3: Wild Hunt - Game of the Year Edition,Adventure| RPG
Mario Party Superstars,Card & Board Game
Watch Dogs 2,Adventure| Shooter
The Elder Scrolls V: Skyrim - Special Edition,Adventure| RPG
Halo 4,Shooter
Infamous: Second Son,Adventure| Platform| Shooter
Ghostrunner,Adventure| Platform| Shooter
Phoenix Wright: Ace Attorney Trilogy,Adventure| Puzzle| Simulator| Visual Novel
Far Cry 5,Adventure| Shooter
Shadow of the Tomb Raider,Adventure| Shooter
Kingdom Hearts II Final Mix,Adventure| Brawler| Platform| RPG| Shooter
Mega Man 2,Adventure| Platform
Katamari Damacy,Adventure| Puzzle
Life is Strange: True Colors,Adventure
Borderlands,RPG| Shooter
Dragons Dogma: Dark Arisen,Adventure| RPG
Mario & Luigi: Bowsers Inside Story,Platform| RPG
DmC: Devil May Cry,Adventure| Brawler| Puzzle
Untitled Goose Game,Adventure| Indie| Puzzle| Simulator
Call of Duty: Modern Warfare 3,Adventure| Shooter| Tactical
Hollow Knight: Voidheart Edition,Adventure| Indie| Platform
Sonic Forces,Adventure| Platform| Strategy
Ōkami HD,Adventure| RPG
Dragon Age: Origins,RPG
Kirby’s Return to Dream Land Deluxe,Adventure| Platform
Kirby Super Star Ultra,Adventure| Platform
Metal: Hellsinger,Adventure| Music| Shooter
Goat Simulator,Adventure| Indie| Simulator
Pokémon Black Version 2,Adventure| RPG| Turn Based Strategy
Bloodborne: The Old Hunters,Adventure| RPG
Flower| Sun| and Rain,Adventure| Puzzle
Call of Duty: Black Ops III,Adventure| Shooter
Sable,Adventure| Indie| Platform| Puzzle| RPG
Mass Effect 3,Adventure| RPG| Shooter
Norco,Adventure| Indie| Point-and-Click| Puzzle
Shadow the Hedgehog,Adventure| Platform| Shooter
Xenoblade Chronicles,Adventure| RPG
Super Mario RPG: Legend of the Seven Stars,Adventure| Platform| RPG
Needy Streamer Overload,Adventure| Indie| Point-and-Click| RPG| Simulator| Visual Novel
Klonoa: Door to Phantomile,Platform
Super Smash Bros. for Nintendo 3DS,Fighting
Darkest Dungeon,Adventure| Indie| RPG| Strategy| Turn Based Strategy
No More Heroes 2: Desperate Struggle,Adventure| Brawler
Mario Kart 8,Arcade| Racing
Metroid: Samus Returns,Adventure| Platform
Final Fantasy XVI,RPG
Days Gone,Adventure| Shooter
Osu!,Indie| Music
Jet Set Radio,Platform
Black Mesa,Adventure| Indie| Platform| Shooter
Saints Row: The Third,Adventure| Racing| Shooter
Roblox,Adventure| Platform| Simulator
Tom Clancys Rainbow Six Siege,Shooter| Tactical
Max Payne 3,Shooter
Pokémon Red,Adventure| RPG| Turn Based Strategy
Left 4 Dead,Shooter
Brawlhalla,Arcade| Fighting| Indie| Platform
Mega Man,Adventure| Platform| Puzzle
The Messenger,Adventure| Arcade| Indie| Platform
Half-Life 2: Episode Two,Puzzle| Shooter
Dredge,Adventure| RPG| Simulator
The Last Guardian,Adventure| Platform| Puzzle
Astral Chain,Adventure| Brawler
Assassins Creed Revelations,Adventure
Pathologic 2,Adventure| Indie| RPG
Half-Life 2: Episode One,Shooter
Mario & Luigi: Superstar Saga,RPG
Star Wars Battlefront II,Adventure| Shooter
The 25th Ward: The Silver Case,Adventure| Puzzle| Visual Novel
Drakengard 3,Adventure| Brawler| RPG| Strategy
Hyper Light Drifter,Adventure| Brawler| Indie| RPG
Payday 2,RPG| Shooter| Tactical
Battlefield 1,Shooter
Resident Evil 3: Nemesis,Adventure| Puzzle| Shooter
Wordle,Puzzle| Quiz/Trivia
Mario Kart: Double Dash!!,Racing
Assassins Creed Unity,Adventure| RPG
Rayman Origins,Adventure| Platform
Super Paper Mario,Adventure| Platform| RPG
Hitman 2,Adventure| Shooter| Tactical
PowerWash Simulator,Indie| Simulator
No Mans Sky,Adventure| Indie| RPG| Simulator
Sonic Adventure 2: Battle,Adventure| Platform
Persona 2: Eternal Punishment,Adventure| RPG
Silent Hill 4: The Room,Adventure
Cave Story,Adventure| Indie| Platform| Shooter
Final Fantasy XII: The Zodiac Age,Adventure| RPG
Parasite Eve,Adventure| RPG
L.A. Noire,Adventure| Strategy
Friday Night Funkin,Music
Kirby: Planet Robobot,Adventure| Platform
Tactics Ogre: Reborn,RPG| Simulator| Strategy| Tactical
Final Fantasy XIV: Shadowbringers,RPG
The Simpsons: Hit & Run,Adventure| Platform| Racing
Catherine: Full Body,Adventure| Platform| Puzzle| Simulator| Strategy
Slime Rancher,Adventure| Indie| Shooter| Simulator| Strategy
Angry Birds,Arcade| Indie| Puzzle| Strategy
Call of Duty: World at War,Adventure| Shooter
Metro Exodus,Adventure| Shooter
Fallout,RPG| Turn Based Strategy
Bugsnax,Adventure| Indie| Puzzle
Sonic CD,Platform
The Legend of Zelda: Phantom Hourglass,Adventure| Puzzle| RPG
Halo 3: ODST,Shooter
The Forgotten City,Adventure| Indie| RPG
The Great Ace Attorney 2: Resolve,Adventure| Point-and-Click| Puzzle| Visual Novel
Deep Rock Galactic,Adventure| Indie| Shooter
Super Mario Kart,Arcade| Racing
Castlevania: Rondo of Blood,Adventure| Platform
The Legend of Heroes: Trails in the Sky SC,RPG| Strategy
Steins;Gate,Adventure| RPG| Visual Novel
Pokémon Yellow,Adventure| RPG| Turn Based Strategy
Kirby Super Star,Adventure| Platform
Mafia: Definitive Edition,Adventure| Shooter
Pokémon Y,Adventure| RPG| Turn Based Strategy
Fire Emblem Warriors: Three Hopes,Brawler| RPG| Simulator| Strategy| Tactical
Devil May Cry 4: Special Edition,Adventure| Brawler
